Time (sec),Axis0 Target Position (m),Axis0 Actual Position (m),Axis0 Target Velocity (m/s),Axis0 Actual Velocity (m/s),Axis0 Control Output (%),Axis0 Status Bits
0.08,10,9.99913406,0,-0.007267013,0.397063971,16#0C202241
0.081,10,9.99905491,0,-0.00879536,0.398422718,16#0C202241
0.082,10,9.99913406,0,-0.010380902,0.398376912,16#0C202241
0.083,10,9.99913406,0,-0.011321967,0.398530096,16#0C202241
0.084,10,9.99913406,0,-0.009960993,0.398789465,16#0C202241
0.085,10,9.99909496,0,-0.005754437,0.399581879,16#0C202241
0.086,10,9.99909496,0,-0.000961179,0.400190264,16#0C202241
0.087,10,9.99897671,0,0.000944751,0.402141392,16#0C202241
0.088,10,9.99905491,0,-0.00239885,0.402439326,16#0C202241
0.089,10,9.99909496,0,-0.009705056,0.402304083,16#0C202241
0.09,10,9.99909496,0,-0.015509104,0.402417511,16#0C202241
0.091,10,9.99897671,0,-0.015479171,0.40410468,16#0C202241
0.092,10,9.99905491,0,-0.011336039,0.404261798,16#0C202241
0.093,10,9.99897671,0,-0.00766994,0.405492276,16#0C202241
0.094,10,9.99901581,0,-0.006691361,0.40588221,16#0C202241
0.095,10,9.99905491,0,-0.007542234,0.405815661,16#0C202241
0.096,10,9.99893761,0,-0.008162833,0.40740332,16#0C202241
0.097,10,9.99901581,0,-0.007889125,0.407515347,16#0C202241
0.098,10,9.99897671,0,-0.007645001,0.408253491,16#0C202241
0.099,10,9.99893761,0,-0.007815122,0.409333557,16#0C202241
0.1,10,9.99889755,0,-0.008758038,0.410615742,16#0C202241
0.101,10,9.99885845,0,-0.011721994,0.412002325,16#0C202241
0.102,10,9.99889755,0,-0.016978327,0.412499756,16#0C202241
0.103,10,9.99885845,0,-0.022397693,0.413467735,16#0C202241
0.104,10,9.99893761,0,-0.024695613,0.413253784,16#0C202241
0.105,10,9.99893761,0,-0.021448892,0.413357586,16#0C202241
0.106,10,9.99893761,0,-0.012409336,0.413630873,16#0C202241
0.107,10,9.99897671,0,-0.000100857,0.413518101,16#0C202241
0.108,10,9.99889755,0,0.011241864,0.41463238,16#0C202241
0.109,10,9.99889755,0,0.017422639,0.415452927,16#0C202241
0.11,10,9.99881935,0,0.015589166,0.417069674,16#0C202241
0.111,10,9.99889755,0,0.006029096,0.417221516,16#0C202241
0.112,10,9.99893761,0,-0.00646824,0.417040557,16#0C202241
0.113,10,9.99885845,0,-0.014961522,0.418126434,16#0C202241
0.114,10,9.99885845,0,-0.016286759,0.418939888,16#0C202241
0.115,10,9.9987793,0,-0.013441934,0.420572519,16#0C202241
0.116,10,9.99889755,0,-0.011010069,0.420252949,16#0C202241
0.117,10,9.99881935,0,-0.01011736,0.42126146,16#0C202241
0.118,10,9.9987793,0,-0.009431046,0.422529697,16#0C202241
0.119,10,9.99889755,0,-0.008598533,0.422015756,16#0C202241
0.12,10,9.99889755,0,-0.00696844,0.421967715,16#0C202241
0.121,10,9.99881935,0,-0.002766365,0.423121065,16#0C202241
0.122,10,9.99889755,0,0.003218233,0.423025668,16#0C202241
0.123,10,9.9987793,0,0.007529059,0.424641818,16#0C202241
0.124,10,9.99881935,0,0.007451859,0.425266355,16#0C202241
0.125,10,9.9987793,0,0.002438228,0.426329762,16#0C202241
0.126,10,9.99889755,0,-0.00507817,0.425706536,16#0C202241
0.127,10,9.99881935,0,-0.01027672,0.426553011,16#0C202241
0.128,10,9.9987793,0,-0.010285197,0.427734852,16#0C202241
0.129,10,9.9987793,0,-0.007353016,0.428615719,16#0C202241
0.13,10,9.9987402,0,-0.005789413,0.429812491,16#0C202241
0.131,10,9.99881935,0,-0.007144569,0.429744929,16#0C202241
0.132,10,9.9987793,0,-0.009360251,0.430438995,16#0C202241
0.133,10,9.9987402,0,-0.009805072,0.431536168,16#0C202241
0.134,10,9.9987793,0,-0.008403914,0.431903452,16#0C202241
0.135,10,9.99881935,0,-0.006327354,0.431861699,16#0C202241
0.136,10,9.99881935,0,-0.003183664,0.43208161,16#0C202241
0.137,10,9.99881935,0,0.001781056,0.432441145,16#0C202241
