Time (sec),Axis0 Target Position (m),Axis0 Actual Position (m),Axis0 Target Velocity (m/s),Axis0 Actual Velocity (m/s),Axis0 Control Output (%),Axis0 Status Bits
0.862,10.3233004,10.3239765,2.84867358,2.93835187,7.14841747,16#0C202000
0.863,10.3261557,10.3266935,2.86150122,2.9252944,7.19899654,16#0C202000
0.864,10.3290234,10.3294096,2.87433147,2.89794421,7.25081348,16#0C202000
0.865,10.3319044,10.3322439,2.88716435,2.8470428,7.29650402,16#0C202000
0.866,10.3347979,10.3351974,2.89999962,2.785743,7.33189869,16#0C202000
0.867,10.3377047,10.339016,2.91283727,2.74403524,7.30523586,16#0C202000
0.868,10.3406239,10.3412209,2.9256773,2.75312066,7.35232067,16#0C202000
0.869,10.3435555,10.3442125,2.93851948,2.81661701,7.38817501,16#0C202000
0.87,10.3465004,10.3473234,2.95136428,2.8998723,7.41095448,16#0C202000
0.871,10.3494587,10.3500786,2.96421099,2.96400523,7.45105839,16#0C202000
0.872,10.3524294,10.353425,2.97706008,2.99541998,7.46222973,16#0C202000
0.873,10.3554125,10.3564959,2.98991156,3.00325155,7.47665501,16#0C202000
0.874,10.3584089,10.3597641,3.00276494,3.00761104,7.48051357,16#0C202000
0.875,10.3614178,10.3626776,3.01562071,3.02473259,7.50278759,16#0C202000
0.876,10.36444,10.366024,3.02847838,3.05606794,7.50715923,16#0C202000
0.877,10.3674755,10.369606,3.04133821,3.09553862,7.4868803,16#0C202000
0.878,10.3705225,10.3721266,3.05419993,3.13987327,7.52401257,16#0C202000
0.879,10.3735838,10.3760242,3.06706381,3.18305063,7.5019598,16#0C202000
0.88,10.3766575,10.3787012,3.07992959,3.21510816,7.52920246,16#0C202000
0.881,10.3797436,10.3816538,3.09279752,3.22880912,7.56572819,16#0C202000
0.882,10.382843,10.3852758,3.10566688,3.21900606,7.56382656,16#0C202000
0.883,10.3859549,10.3868895,3.11853838,3.18409419,7.67491055,16#0C202000
0.884,10.38908,10.3908663,3.13141155,3.12395072,7.69205189,16#0C202000
0.885,10.3922176,10.3941336,3.14428663,3.04760957,7.70602131,16#0C202000
0.886,10.3953686,10.3970079,3.15716338,2.98819065,7.7451086,16#0C202000
0.887,10.3985319,10.4005117,3.1700418,2.97798586,7.7569685,16#0C202000
0.888,10.4017086,10.4025593,3.18292189,3.01350808,7.85142231,16#0C202000
0.889,10.4048977,10.406496,3.19580388,3.06115437,7.86669064,16#0C202000
0.89,10.4081001,10.4099998,3.20868707,3.09469509,7.86849117,16#0C202000
0.891,10.411315,10.4131498,3.22157192,3.12285686,7.88706875,16#0C202000
0.892,10.4145432,10.4161816,3.23445845,3.16506505,7.92339802,16#0C202000
0.893,10.4177837,10.419961,3.24734616,3.21819139,7.92063808,16#0C202000
0.894,10.4210377,10.422677,3.26023555,3.26678252,7.9678545,16#0C202000
0.895,10.424305,10.4266148,3.27312589,3.30126405,7.96217442,16#0C202000
0.896,10.4275837,10.4288187,3.28601813,3.3169415,8.0433073,16#0C202000
0.897,10.4308767,10.4318895,3.29891133,3.30476522,8.11539555,16#0C202000
0.898,10.4341822,10.4370871,3.31180596,3.26214981,8.04264164,16#0C202000
0.899,10.4375,10.4386225,3.32470155,3.22031331,8.13427448,16#0C202000
0.9,10.4408312,10.4425592,3.33759832,3.21484017,8.15717602,16#0C202000
0.901,10.4441757,10.4452753,3.35049629,3.23569345,8.2246027,16#0C202000
0.902,10.4475327,10.4490156,3.36339545,3.25213599,8.24936008,16#0C202000
0.903,10.450902,10.4527559,3.37629557,3.25801468,8.25174618,16#0C202000
0.904,10.4542847,10.4553156,3.38919687,3.26888156,8.32099819,16#0C202000
0.905,10.4576807,10.4588976,3.40209866,3.29047203,8.35990047,16#0C202000
0.906,10.4610891,10.4624414,3.41500163,3.3099184,8.38576412,16#0C202000
0.907,10.4645109,10.4664564,3.42790556,3.32475257,8.37415028,16#0C202000
0.908,10.4679451,10.4691734,3.4408102,3.35140324,8.42880726,16#0C202000
0.909,10.4713926,10.4723234,3.45371556,3.39156127,8.491786,16#0C202000
0.91,10.4748526,10.4760237,3.46662164,3.41938448,8.52385235,16#0C202000
0.911,10.4783258,10.4807482,3.47952843,3.423033,8.47210026,16#0C202000
0.912,10.4818115,10.4836617,3.49243593,3.43371487,8.49519634,16#0C202000
0.913,10.4853106,10.4868116,3.50534391,3.48094964,8.54406071,16#0C202000
0.914,10.488822,10.4904728,3.51825213,3.54380751,8.57396984,16#0C202000
0.915,10.4923468,10.4946852,3.53116107,3.58339548,8.55792141,16#0C202000
0.916,10.4958839,10.4977169,3.54407072,3.59513688,8.5957346,16#0C202000
0.917,10.4994345,10.5009451,3.55698037,3.59392405,8.65069675,16#0C202000
0.918,10.5029984,10.5051184,3.5698905,3.58112836,8.6533556,16#0C202000
0.919,10.5065746,10.5088186,3.58280063,3.56010056,8.6596365,16#0C202000
0.92,10.5101643,10.5116148,3.59571123,3.54837036,8.72856998,16#0C202000
0.921,10.5137663,10.5147638,3.60862207,3.54570937,8.80922985,16#0C202000
0.922,10.5173817,10.5191336,3.62153292,3.52872396,8.81655598,16#0C202000
0.923,10.5210094,10.521142,3.634444,3.48886251,8.94138813,16#0C202000
0.924,10.5246506,10.5257874,3.64735484,3.43804383,8.95666599,16#0C202000
0.925,10.5283041,10.5302753,3.66026568,3.39947963,8.92364025,16#0C202000
0.926,10.531971,10.5340557,3.67317653,3.41703725,8.9117403,16#0C202000
0.927,10.5356503,10.5370474,3.68608737,3.51922321,8.96412945,16#0C202000
0.928,10.5393429,10.5411415,3.69899774,3.66887403,8.97933102,16#0C202000
0.929,10.5430479,10.5443306,3.7119081,3.79243636,9.03511143,16#0C202000
0.93,10.5467663,10.5489368,3.72481799,3.84607005,9.01998043,16#0C202000
0.931,10.550498,10.5517321,3.73772764,3.83579445,9.08705997,16#0C202000
0.932,10.5542421,10.5563784,3.75063682,3.7924633,9.07706165,16#0C202000
0.933,10.5579996,10.5595274,3.76354527,3.74602962,9.12514973,16#0C202000
0.934,10.5617695,10.5629921,3.77645326,3.71348596,9.1847887,16#0C202000
0.935,10.5655518,10.5666533,3.789361,3.69073915,9.23871517,16#0C202000
0.936,10.5693483,10.5718107,3.80226779,3.67148304,9.19141293,16#0C202000
0.937,10.5731564,10.5746069,3.8151741,3.67490172,9.24599361,16#0C202000
0.938,10.5769787,10.5782681,3.82807946,3.71688652,9.29962254,16#0C202000
0.939,10.5808125,10.582756,3.84098411,3.77455807,9.29882717,16#0C202000
0.94,10.5846605,10.585906,3.8538878,3.81747508,9.35797977,16#0C202000
0.941,10.588521,10.5905905,3.86679053,3.84018159,9.34891605,16#0C202000
0.942,10.5923939,10.5942526,3.87969232,3.85371017,9.37118435,16#0C202000
0.943,10.5962801,10.5973234,3.89259291,3.86768055,9.45050907,16#0C202000
0.944,10.6001787,10.6025591,3.90549254,3.87797737,9.41839314,16#0C202000
0.945,10.6040907,10.6052761,3.91839099,3.88025141,9.49329853,16#0C202000
0.946,10.608016,10.6100397,3.931288,3.88160992,9.49174786,16#0C202000
0.947,10.6119537,10.6145277,3.9441843,3.89198709,9.46757984,16#0C202000
0.948,10.6159039,10.61689,3.9570787,3.91940928,9.57256794,16#0C202000
0.949,10.6198673,10.6214571,3.96997142,3.95036483,9.6028471,16#0C202000
0.95,10.6238441,10.6258659,3.98286295,3.95575428,9.60398197,16#0C202000
0.951,10.6278334,10.6300001,3.99575329,3.94096541,9.60812473,16#0C202000
0.952,10.6318359,10.63311,4.00864124,3.93843436,9.68254375,16#0C202000
0.953,10.6358509,10.637126,4.02152777,3.95077825,9.73616314,16#0C202000
0.954,10.6398783,10.642087,4.03441286,3.95560122,9.71681309,16#0C202000
0.955,10.6439199,10.6451578,4.04729605,3.95281219,9.7838316,16#0C202000
0.956,10.6479731,10.648819,4.06017685,3.95480442,9.85960293,16#0C202000
0.957,10.6520395,10.653307,4.07305622,3.95203829,9.88651562,16#0C202000
0.958,10.6561193,10.6581497,4.08593321,3.93987727,9.86423588,16#0C202000
0.959,10.6602116,10.6625595,4.09880829,3.95104599,9.84440517,16#0C202000
0.96,10.6643171,10.6665354,4.11168098,4.02097321,9.85519123,16#0C202000
0.961,10.6684351,10.6702757,4.12455177,4.13730955,9.89890766,16#0C202000
0.962,10.6725664,10.674921,4.13742018,4.24584341,9.90145397,16#0C202000
0.963,10.6767101,10.6783857,4.1502862,4.29996347,9.96060658,16#0C202000
0.964,10.6808662,10.682559,4.16314936,4.28683901,10.0045252,16#0C202000
0.965,10.6850367,10.6872444,4.17601061,4.22146559,10.0072718,16#0C202000
0.966,10.6892185,10.6905518,4.188869,4.13899183,10.0796518,16#0C202000
0.967,10.6934137,10.6948824,4.20172453,4.07199955,10.1231546,16#0C202000
0.968,10.6976223,10.6988192,4.21457767,4.02887821,10.1781111,16#0C202000
0.969,10.7018433,10.7034645,4.22742796,4.0083189,10.1932974,16#0C202000
0.97,10.7060766,10.7071657,4.24027538,4.01501083,10.2502375,16#0C202000
0.971,10.7103233,10.7106304,4.25311947,4.04399633,10.3466234,16#0C202000
0.972,10.7145834,10.7154331,4.26596069,4.06991434,10.3770437,16#0C202000
0.973,10.7188559,10.7200394,4.27879906,4.07839489,10.3855181,16#0C202000
0.974,10.7231407,10.7243309,4.29163361,4.09214258,10.4036055,16#0C202000
0.975,10.7274389,10.7292519,4.30446577,4.14295292,10.3859415,16#0C202000
0.976,10.7317495,10.733819,4.31729412,4.2396121,10.3727961,16#0C202000
0.977,10.7360735,10.7366142,4.33011961,4.35980511,10.4802103,16#0C202000
0.978,10.7404099,10.7413387,4.34294081,4.44744539,10.526473,16#0C202000
0.979,10.7447596,10.7456694,4.35575867,4.44965458,10.5666914,16#0C202000
0.98,10.7491217,10.7505121,4.36857319,4.37555647,10.57055,16#0C202000
0.981,10.7534962,10.754528,4.38138342,4.28795004,10.6101389,16#0C202000
0.982,10.757884,10.7582674,4.39419031,4.23697567,10.688426,16#0C202000
0.983,10.7622852,10.7642517,4.40699339,4.22990227,10.6400232,16#0C202000
0.984,10.7666979,10.7689371,4.41979218,4.26815987,10.6091948,16#0C202000
0.985,10.7711248,10.7719688,4.43258715,4.36043596,10.6980848,16#0C202000
0.986,10.7755632,10.7778349,4.44537735,4.47878456,10.665122,16#0C202000
0.987,10.780015,10.7826777,4.45816422,4.57501507,10.6343298,16#0C202000
0.988,10.7844801,10.786417,4.47094631,4.638134,10.6783323,16#0C202000
0.989,10.7889566,10.7911816,4.48372459,4.67330408,10.6957922,16#0C202000
0.99,10.7934475,10.7966928,4.49649811,4.67527533,10.6501741,16#0C202000
0.991,10.7979498,10.799921,4.50926638,4.65393734,10.7219782,16#0C202000
0.992,10.8024654,10.8049612,4.52203083,4.62484074,10.7385225,16#0C202000
0.993,10.8069944,10.8095274,4.53479052,4.58670568,10.7573233,16#0C202000
0.994,10.8115349,10.8125982,4.54754448,4.53643084,10.8772402,16#0C202000
0.995,10.8160896,10.8188982,4.56029463,4.47582054,10.8394632,16#0C202000
0.996,10.8206558,10.8224802,4.57303953,4.41927862,10.896678,16#0C202000
0.997,10.8252354,10.8280315,4.58577871,4.39905071,10.8758917,16#0C202000
0.998,10.8298273,10.8313389,4.5985136,4.43106222,10.9620981,16#0C202000
0.999,10.8344326,10.8362207,4.61124277,4.48987103,11.0032415,16#0C202000
1,10.8390503,10.8407087,4.62396717,4.5328207,11.046979,16#0C202000
1.001,10.8436804,10.8455124,4.63668537,4.54175615,11.0721159,16#0C202000
1.002,10.8483229,10.850276,4.64939833,4.5336256,11.0906153,16#0C202000
1.003,10.8529787,10.8563385,4.66210556,4.54258585,11.0201426,16#0C202000
1.004,10.8576479,10.8592129,4.67480755,4.59673309,11.1130152,16#0C202000
1.005,10.8623285,10.8648033,4.68750334,4.68398523,11.1155977,16#0C202000
1.006,10.8670225,10.8680315,4.70019341,4.75000858,11.2265902,16#0C202000
1.007,10.8717289,10.8727169,4.71287727,4.74478292,11.3011961,16#0C202000
1.008,10.8764486,10.8773232,4.72555542,4.65789127,11.3625402,16#0C202000
1.009,10.8811798,10.8829136,4.73822737,4.53029108,11.3524008,16#0C202000
1.01,10.8859243,10.8880711,4.75089264,4.44246435,11.3327608,16#0C202000
1.011,10.8906822,10.8918505,4.76355171,4.4579525,11.3998938,16#0C202000
1.012,10.8954515,10.897047,4.77620506,4.56591463,11.4211493,16#0C202000
1.013,10.9002342,10.9009848,4.78885078,4.69495106,11.5018339,16#0C202000
1.014,10.9050293,10.9065351,4.80149031,4.77949524,11.5090017,16#0C202000
1.015,10.9098377,10.9116144,4.81412315,4.80530214,11.5082369,16#0C202000
1.016,10.9146576,10.9163389,4.82674885,4.80510139,11.5272188,16#0C202000
1.017,10.9194908,10.9209452,4.83936787,4.81388521,11.5655699,16#0C202000
1.018,10.9243364,10.925355,4.85197973,4.83172321,11.6283484,16#0C202000
1.019,10.9291945,10.931181,4.86458492,4.83912134,11.6115103,16#0C202000
1.02,10.9340658,10.9353151,4.87718201,4.83417273,11.6642256,16#0C202000
1.021,10.9389496,10.9409447,4.88977194,4.83370018,11.6564817,16#0C202000
1.022,10.9438448,10.9444885,4.90235519,4.84469461,11.7547655,16#0C202000
1.023,10.9487534,10.9504728,4.91492987,4.8542161,11.7500982,16#0C202000
1.024,10.9536753,10.9553547,4.92749786,4.85385609,11.7633181,16#0C202000
1.025,10.9586086,10.9597244,4.94005775,4.85651827,11.8208532,16#0C202000
1.026,10.9635553,10.9648819,4.95260906,4.87069273,11.8512659,16#0C202000
1.027,10.9685144,10.9700785,4.96515274,4.88702774,11.865201,16#0C202000
1.028,10.973485,10.9761028,4.97768879,4.90815544,11.8159113,16#0C202000
1.029,10.9784698,10.9785824,4.99021626,4.94759417,11.9678125,16#0C202000
1.03,10.9834661,10.9857483,5.00273561,4.98944426,11.9197035,16#0C202000
1.031,10.9884748,10.9893703,5.01524639,5.00346375,11.9983797,16#0C202000
1.032,10.9934959,10.9958267,5.02774906,4.99400282,11.9590235,16#0C202000
1.033,10.9985304,11.0003147,5.04024267,4.99184561,11.9865522,16#0C202000
1.034,11.0035772,11.0060635,5.0527277,5.01994038,11.9675474,16#0C202000
1.035,11.0086355,11.0119686,5.06520367,5.0845952,11.9133024,16#0C202000
1.036,11.0137072,11.015748,5.07767105,5.17722034,11.9812117,16#0C202000
1.037,11.0187912,11.0196848,5.0901289,5.2562294,12.1061029,16#0C202000
1.038,11.0238876,11.0266533,5.10257816,5.25727463,12.0623598,16#0C202000
1.039,11.0289965,11.0308666,5.11501789,5.17199564,12.1101446,16#0C202000
1.04,11.0341177,11.0358667,5.12744808,5.06462955,12.1563807,16#0C202000
1.041,11.0392513,11.0420084,5.13986921,4.99404526,12.1269999,16#0C202000
1.042,11.0443974,11.0462208,5.15227985,4.98206377,12.1849566,16#0C202000
1.043,11.0495558,11.0517721,5.16468143,5.02392769,12.202529,16#0C202000
1.044,11.0547266,11.0559053,5.177073,5.08550835,12.293004,16#0C202000
1.045,11.0599098,11.0614958,5.18945408,5.12184668,12.327672,16#0C202000
1.046,11.0651054,11.0666933,5.2018261,5.11356068,12.3589888,16#0C202000
1.047,11.0703135,11.0731106,5.21418667,5.08650589,12.3084021,16#0C202000
1.048,11.0755339,11.0772839,5.2265377,5.09096146,12.3624506,16#0C202000
1.049,11.0807667,11.0820475,5.23887825,5.1428771,12.4351339,16#0C202000
1.05,11.0860119,11.0884647,5.25120831,5.204669,12.4093885,16#0C202000
1.051,11.0912685,11.0924015,5.26352692,5.24034214,12.4951258,16#0C202000
1.052,11.0965385,11.0985832,5.27583551,5.24719954,12.4937525,16#0C202000
1.053,11.1018209,11.1028347,5.28813267,5.23330307,12.5737486,16#0C202000
1.054,11.1071148,11.1083069,5.30041885,5.20428562,12.6180716,16#0C202000
1.055,11.112422,11.1148825,5.31269407,5.17259932,12.5708323,16#0C202000
1.056,11.1177406,11.120079,5.32495832,5.17227602,12.5655584,16#0C202000
1.057,11.1230717,11.1246462,5.33721066,5.23335648,12.6253748,16#0C202000
1.058,11.1284151,11.1301184,5.34945107,5.33034039,12.6615343,16#0C202000
1.059,11.13377,11.1359844,5.36168051,5.40427017,12.6595488,16#0C202000
1.06,11.1391382,11.1415358,5.37389755,5.43299198,12.6583834,16#0C202000
1.061,11.1445179,11.1475592,5.38610315,5.44285059,12.6268816,16#0C202000
1.062,11.14991,11.1518507,5.39829636,5.46315432,12.6941786,16#0C202000
1.063,11.1553144,11.157362,5.41047764,5.4868474,12.7352991,16#0C202000
1.064,11.1607313,11.1625595,5.42264652,5.4805088,12.7839594,16#0C202000
1.065,11.1661596,11.1687012,5.43480253,5.43288898,12.7749872,16#0C202000
1.066,11.1716013,11.1731501,5.44694662,5.37204885,12.8476534,16#0C202000
1.067,11.1770544,11.1792126,5.45907736,5.32923365,12.8586626,16#0C202000
1.068,11.182519,11.1836615,5.47119522,5.31060362,12.9438982,16#0C202000
1.069,11.1879959,11.1890554,5.48330069,5.3023138,13.0079737,16#0C202000
1.07,11.1934853,11.1950788,5.4953928,5.2895546,13.0199003,16#0C202000
1.071,11.198987,11.2020864,5.50747156,5.28777218,12.9389257,16#0C202000
1.072,11.2045002,11.206851,5.5195365,5.34466839,12.9562483,16#0C202000
1.073,11.2100258,11.2114573,5.53158855,5.47284555,13.0381632,16#0C202000
1.074,11.2155638,11.218071,5.54362726,5.60913849,13.0231886,16#0C202000
1.075,11.2211132,11.2223234,5.55565119,5.68006325,13.1127119,16#0C202000
1.076,11.226675,11.2286224,5.56766176,5.6658082,13.124465,16#0C202000
1.077,11.2322483,11.2346458,5.57965803,5.59542608,13.1129332,16#0C202000
1.078,11.237834,11.240551,5.59164047,5.52837753,13.097127,16#0C202000
1.079,11.243432,11.2466536,5.60360813,5.52284765,13.0663881,16#0C202000
1.08,11.2490416,11.250473,5.61556196,5.58725834,13.1793261,16#0C202000
1.081,11.2546635,11.256299,5.62750006,5.66286135,13.2385969,16#0C202000
1.082,11.2602968,11.2617722,5.63942385,5.67385864,13.2931604,16#0C202000
1.083,11.2659416,11.2672834,5.65133333,5.60229731,13.3436022,16#0C202000
1.084,11.2715988,11.2731495,5.66322708,5.49489355,13.3692617,16#0C202000
1.085,11.2772684,11.2798033,5.67510605,5.41804886,13.3300085,16#0C202000
1.086,11.2829494,11.2858267,5.68696928,5.4284234,13.2975874,16#0C202000
1.087,11.2886419,11.2907486,5.69881725,5.54330444,13.3422441,16#0C202000
1.088,11.2943468,11.2966928,5.71064949,5.71292448,13.3618593,16#0C202000
1.089,11.3000641,11.3033466,5.72246599,5.85725594,13.3215799,16#0C202000
1.09,11.3057919,11.3087006,5.73426628,5.93869495,13.335206,16#0C202000
1.091,11.311532,11.3127165,5.74605083,5.95846844,13.4675779,16#0C202000
1.092,11.3172836,11.3192129,5.75781918,5.90445328,13.5014067,16#0C202000
1.093,11.3230476,11.3248425,5.76957083,5.77283955,13.5401392,16#0C202000
1.094,11.3288231,11.3304329,5.78130579,5.61435604,13.5849733,16#0C202000
1.095,11.33461,11.3368111,5.79302502,5.50208092,13.581748,16#0C202000
1.096,11.3404093,11.3414564,5.80472612,5.47503376,13.6679792,16#0C202000
1.097,11.34622,11.3468113,5.8164115,5.51610899,13.7568903,16#0C202000
1.098,11.3520422,11.3544493,5.82807875,5.57685995,13.6970167,16#0C202000
1.099,11.3578758,11.3609447,5.83972883,5.64771652,13.632268,16#0C202000
1.1,11.3637218,11.3635826,5.85136223,5.75419092,13.8209028,16#0C202000
1.101,11.3695784,11.370512,5.86297703,5.85958338,13.8642607,16#0C202000
1.102,11.3754473,11.3762598,5.87457466,5.88069201,13.9081106,16#0C202000
1.103,11.3813276,11.3838186,5.88615417,5.81605053,13.8329477,16#0C202000
1.104,11.3872194,11.3896065,5.89771605,5.76164913,13.8106432,16#0C202000
1.105,11.3931236,11.3947639,5.90925932,5.79794502,13.859273,16#0C202000
1.106,11.3990383,11.4001579,5.920784,5.90465164,13.9315596,16#0C202000
1.107,11.4049644,11.4062996,5.93229008,5.99272776,13.9681807,16#0C202000
1.108,11.410903,11.4124022,5.94377756,6.00335884,13.9889307,16#0C202000
1.109,11.416852,11.4166145,5.95524645,5.94377804,14.1270971,16#0C202000
1.11,11.4228134,11.4239769,5.96669579,5.84405804,14.1216669,16#0C202000
1.111,11.4287853,11.4285431,5.97812605,5.7357893,14.2242403,16#0C202000
1.112,11.4347696,11.4347639,5.98953724,5.65371466,14.2766504,16#0C202000
1.113,11.4407644,11.442441,6.00092888,5.62544823,14.2068491,16#0C202000
1.114,11.4467716,11.4494886,6.01230049,5.687078,14.1121531,16#0C202000
1.115,11.4527893,11.454134,6.02365208,5.86909199,14.1630487,16#0C202000
1.116,11.4588184,11.4584646,6.03498411,6.11332273,14.3147707,16#0C202000
1.117,11.464859,11.4665747,6.04629564,6.27866077,14.2721758,16#0C202000
1.118,11.470911,11.4718504,6.05758715,6.28645849,14.3123732,16#0C202000
1.119,11.4769745,11.478425,6.06885767,6.18912649,14.3121634,16#0C202000
1.12,11.4830494,11.4840155,6.08010769,6.07875252,14.3558569,16#0C202000
1.121,11.4891348,11.4908266,6.0913372,6.00772238,14.3431959,16#0C202000
1.122,11.4952316,11.4958668,6.10254478,5.98861551,14.4178858,16#0C202000
1.123,11.5013399,11.5037794,6.11373186,6.01181602,14.3505201,16#0C202000
1.124,11.5074596,11.5099611,6.124897,6.07139444,14.3209219,16#0C202000
1.125,11.5135899,11.5138187,6.13604116,6.16229725,14.4662523,16#0C202000
1.126,11.5197315,11.5211029,6.14716339,6.2363472,14.4808569,16#0C202000
1.127,11.5258837,11.5253935,6.15826321,6.22481298,14.6237059,16#0C202000
1.128,11.5320482,11.5333071,6.16934156,6.11653662,14.5974951,16#0C202000
1.129,11.5382223,11.5412598,6.18039751,5.98609686,14.4771528,16#0C202000
1.13,11.5444088,11.546299,6.19143057,5.9518609,14.4986753,16#0C202000
1.131,11.5506058,11.5526381,6.20244122,6.06718731,14.5115976,16#0C202000
1.132,11.5568132,11.556654,6.21342945,6.25016356,14.6745634,16#0C202000
1.133,11.5630322,11.5664177,6.22439384,6.3696804,14.5394354,16#0C202000
1.134,11.5692625,11.5713778,6.23533583,6.38904715,14.5607328,16#0C202000
1.135,11.5755033,11.5773621,6.24625397,6.36982155,14.5996161,16#0C202000
1.136,11.5817547,11.5839376,6.25714874,6.35450172,14.6096029,16#0C202000
1.137,11.5880175,11.5884647,6.26802015,6.32691145,14.7404451,16#0C202000
1.138,11.5942907,11.5966139,6.27886677,6.26472235,14.6980753,16#0C202000
1.139,11.6005754,11.601614,6.28969002,6.18043041,14.7708387,16#0C202000
1.14,11.6068697,11.6092129,6.30048895,6.11831856,14.7346621,16#0C202000
1.141,11.6131763,11.615591,6.31126308,6.1188817,14.7206793,16#0C202000
1.142,11.6194925,11.6210632,6.32201242,6.19068336,14.7791624,16#0C202000
1.143,11.6258202,11.6258268,6.33273745,6.28853083,14.9254293,16#0C202000
1.144,11.6321583,11.6337013,6.34343719,6.33056688,14.9136839,16#0C202000
1.145,11.6385069,11.6390162,6.35411167,6.28317499,14.9868288,16#0C202000
1.146,11.644866,11.6475201,6.36476088,6.20133686,14.8955183,16#0C202000
1.147,11.6512365,11.6534643,6.37538433,6.17480373,14.884614,16#0C202000
1.148,11.6576176,11.6588192,6.38598204,6.24914312,14.9568415,16#0C202000
1.149,11.6640081,11.6646461,6.39655399,6.37526035,15.043849,16#0C202000
1.15,11.6704102,11.6709843,6.40709925,6.4499197,15.106185,16#0C202000
1.151,11.6768227,11.6772833,6.41761827,6.4179883,15.1586866,16#0C202000
1.152,11.6832457,11.6841345,6.4281106,6.31162882,15.1700964,16#0C202000
1.153,11.6896791,11.6905117,6.4385767,6.20797968,15.1912184,16#0C202000
1.154,11.6961222,11.6971655,6.44901562,6.17070675,15.1998339,16#0C202000
1.155,11.7025766,11.704567,6.45942688,6.22173882,15.1526632,16#0C202000
1.156,11.7090416,11.7096062,6.46981144,6.34408092,15.2320471,16#0C202000
1.157,11.7155161,11.7175198,6.48016787,6.48896933,15.1904516,16#0C202000
1.158,11.722002,11.7233467,6.49049711,6.60277414,15.2218618,16#0C202000
1.159,11.7284975,11.7286224,6.50079823,6.65492344,15.330121,16#0C202000
1.16,11.7350035,11.7354727,6.51107073,6.62566137,15.3769445,16#0C202000
1.161,11.7415199,11.7431889,6.52131557,6.52074003,15.3338232,16#0C202000
1.162,11.7480459,11.7493305,6.53153133,6.40751362,15.3464289,16#0C202000
1.163,11.7545824,11.7559843,6.54171801,6.36625719,15.355876,16#0C202000
1.164,11.7611294,11.7627163,6.55187654,6.41431427,15.358983,16#0C202000
1.165,11.7676859,11.7690554,6.56200552,6.51212072,15.3851576,16#0C202000
1.166,11.7742538,11.7748823,6.57210493,6.60486746,15.4585848,16#0C202000
1.167,11.7808304,11.7806301,6.5821743,6.6390605,15.5638266,16#0C202000
1.168,11.7874174,11.7875595,6.59221411,6.58175993,15.6092367,16#0C202000
1.169,11.7940149,11.7946463,6.60222483,6.45585012,15.6125689,16#0C202000
1.17,11.800622,11.8020477,6.61220407,6.34353971,15.5726156,16#0C202000
1.171,11.8072395,11.8096457,6.62215376,6.33593035,15.4963179,16#0C202000
1.172,11.8138666,11.8148031,6.63207245,6.46560669,15.5620203,16#0C202000
1.173,11.8205032,11.8227959,6.64196014,6.67473316,15.5176268,16#0C202000
1.174,11.8271503,11.8300791,6.65181684,6.86915684,15.4607077,16#0C202000
1.175,11.833807,11.8375196,6.66164207,7.00710297,15.3865519,16#0C202000
1.176,11.8404732,11.8418903,6.67143631,7.09096956,15.5065756,16#0C202000
1.177,11.8471498,11.8483858,6.6811986,7.09190845,15.592452,16#0C202000
1.178,11.8538361,11.8553543,6.69092846,6.96315861,15.6295252,16#0C202000
1.179,11.8605318,11.8628349,6.70062685,6.73313904,15.606864,16#0C202000
1.18,11.8672371,11.8686218,6.71029234,6.51290226,15.6644144,16#0C202000
1.181,11.8739519,11.8742914,6.7199254,6.38829565,15.7741556,16#0C202000
1.182,11.8806772,11.881732,6.72952557,6.35361671,15.7960768,16#0C202000
1.183,11.8874111,11.8897638,6.73909283,6.37402582,15.7316484,16#0C202000
1.184,11.8941555,11.8946848,6.74862671,6.44970989,15.8267355,16#0C202000
1.185,11.9009085,11.9017324,6.75812721,6.56954002,15.8684015,16#0C202000
1.186,11.9076719,11.9086218,6.76759338,6.67655182,15.8923903,16#0C202000
1.187,11.914444,11.9171257,6.77702665,6.73794508,15.800231,16#0C202000
1.188,11.9212255,11.9224415,6.78642511,6.78521967,15.8562613,16#0C202000
1.189,11.9280167,11.9311419,6.79578924,6.8543191,15.769042,16#0C202000
1.19,11.9348173,11.9368114,6.80511904,6.94214964,15.8049212,16#0C202000
1.191,11.9416265,11.9428349,6.81441355,7.0161891,15.8847857,16#0C202000
1.192,11.9484463,11.9516144,6.82367325,7.03474283,15.8068037,16#0C202000
1.193,11.9552746,11.9582281,6.83289766,6.99788904,15.7866335,16#0C202000
1.194,11.9621115,11.9637403,6.84208632,6.95414209,15.8711386,16#0C202000
1.195,11.9689579,11.9708662,6.8512392,6.92018366,15.9065084,16#0C202000
1.196,11.9758139,11.9793701,6.86035633,6.87600136,15.8245192,16#0C202000
1.197,11.9826794,11.9843702,6.86943722,6.83534908,15.9111071,16#0C202000
1.198,11.9895525,11.9895668,6.87848186,6.81269312,16.0780945,16#0C202000
1.199,11.9964361,11.9979525,6.88748932,6.76498032,16.0770454,16#0C202000
1.2,12.0033283,12.0048428,6.89646006,6.66880512,16.085331,16#0C202000
1.201,12.0102291,12.0127163,6.9053936,6.59012651,16.0338974,16#0C202000
1.202,12.0171385,12.0183468,6.91428947,6.60752058,16.0988426,16#0C202000
1.203,12.0240574,12.0246067,6.92314816,6.71304369,16.1861305,16#0C202000
